,4dwm,as,awk,bc,binhex,bison,cat,cc1,chmod,co,col,cpp,date,detex,download,dpost,drf,dvipost,dvips,echo,egrep,endsessi,env,eqn,ex,expr,faces,fgrep,fifo,file,find,finger,flex,gcc,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gre,grep,gs,hostname,hpost,id,launchef,lc,lcc,ld,ld_,less,ln,lock,lp,lpdsend,ls,mail,mailx,make,man,mc,mediamai,mimencod,mkdir,mkpts,more,mp,munpack,nawk,netscape,netstat,nm,platform,popper,post,postprin,postreve,ppost,pq,pr,ps,pwd,reaper,rm,rmdir,sed,sendmail,sgihelp,sh,sleep,slmhelpe,sort,spec,spell,sprog,stty,tail,tbl,tcpostio,tcppost,tcsh,tektroni,tel,tellwm,telnet,test,toolches,touch,tput,troff,true,tset,ul,uname,unlock,unpack,userenv,virtex,wait4wm,wc,whereis,which,who,whois,xclock,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
10,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,0,0,0,9,1,1,1,0,0,0,1,0,1,0,1,0,5,0,0,0,0,5,2,2,0,8,0,2,0,0,5,2,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,1,2,6,1,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0
11,0,0,1,0,0,0,5,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,0,0,0,18,2,2,1,0,1,0,2,1,2,0,2,0,1,0,0,0,0,2,3,3,0,5,0,0,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,2,0,1,3,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0
12,0,0,2,0,0,0,8,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,18,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,3,3,0,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,3,0,0,4,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,12,0
13,1,0,0,0,0,0,2,0,3,0,0,1,3,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,4,0,0,0,0,5,0,0,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,8,0,13,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,16,13,0
14,0,0,1,0,0,0,6,0,1,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,2,1,2,0,0,0,10,1,1,1,0,0,0,1,0,5,0,1,4,0,0,0,0,0,3,2,2,0,3,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,1,2,4,0,6,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,14,0
15,0,0,2,0,0,0,6,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,2,2,3,0,0,0,13,1,2,1,0,0,0,2,0,2,0,2,0,1,0,0,0,0,4,2,4,0,4,0,0,0,0,1,1,0,2,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,2,3,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0
16,0,0,1,0,0,0,6,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,17,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,4,2,0,6,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,2,4,0,0,4,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0
17,1,0,0,0,0,0,2,0,3,0,0,1,3,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,5,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,18,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,16,17,0
18,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,6,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,16,18,0
19,0,0,1,0,0,0,5,0,1,0,0,0,5,0,1,0,0,2,1,2,0,0,0,0,1,1,0,0,2,1,2,0,0,0,10,1,1,1,0,0,2,1,0,2,1,1,0,3,0,0,0,0,5,2,2,0,6,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,4,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,19,0
20,0,0,2,0,0,0,6,0,0,0,0,0,5,0,1,0,0,2,1,0,0,0,0,0,2,2,0,3,2,2,2,0,0,0,11,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,3,2,3,0,3,0,1,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,1,2,6,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,20,0
21,0,0,0,0,0,0,5,0,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,3,0,0,3,2,0,1,0,0,0,9,1,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,2,1,0,10,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,2,9,0,5,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0
22,0,0,1,1,0,0,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0,7,0,0,0,0,2,0,2,0,7,1,2,0,0,7,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,1,0,1,15,0,7,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,0
23,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,9,0,0,3,2,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,2,0,0,13,1,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,10,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0
24,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,0,1,0,1,0,1,0,4,0,0,0,0,3,2,2,0,7,1,2,0,0,4,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,6,0,3,1,2,9,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0
25,1,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,0,5,0,2,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,2,5,0,0,0,0,2,0,0,0,5,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,3,0,8,0,0,2,0,2,1,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,3,16,25,0
26,0,0,1,0,0,0,6,0,2,0,0,0,6,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,2,1,3,0,0,0,10,1,1,1,0,0,0,1,0,4,0,1,4,1,0,0,0,0,3,2,2,0,4,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,0,0,8,1,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,26,0
27,0,0,1,0,0,0,6,0,1,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,5,1,0,0,1,1,2,0,0,0,8,1,1,1,0,0,0,1,0,2,0,1,0,6,0,0,0,0,4,1,2,0,8,0,2,0,0,6,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,1,6,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,0
28,0,0,2,0,0,0,6,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,2,0,0,0,13,1,2,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,3,3,0,4,0,1,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,5,2,3,3,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0
29,0,0,0,0,0,0,2,0,0,0,0,1,3,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,9,1,0,1,4,0,0,0,0,2,0,0,2,3,0,0,0,0,2,2,1,0,6,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,0,8,0,0,2,0,2,1,1,0,0,4,1,0,0,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,16,29,0
30,1,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,8,0,0,1,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,2,0,0,0,5,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16,30,0
31,0,0,1,1,0,0,8,0,1,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,4,1,0,0,2,1,2,0,0,0,10,1,1,1,0,0,0,1,0,2,1,1,0,3,0,0,0,0,3,2,2,0,6,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,1,0,3,1,3,3,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0
32,0,0,1,0,0,0,5,0,1,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,5,1,0,0,1,1,2,0,0,0,7,1,1,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,3,1,2,0,3,0,3,0,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,15,0,8,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,32,0
33,1,0,0,0,0,0,3,0,3,0,0,1,5,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,1,1,4,0,0,0,4,0,1,0,0,0,0,1,0,5,0,1,4,1,0,0,0,0,3,1,1,0,2,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,11,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,16,33,0
34,1,0,1,0,0,0,4,0,2,0,0,1,5,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,2,0,0,0,9,1,0,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,2,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,2,3,0,7,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,0,3,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,16,34,0
35,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,2,0,0,0,6,0,2,0,0,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,21,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,0
36,1,0,0,0,0,0,2,0,3,0,0,1,3,0,0,0,0,0,0,7,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,6,0,1,6,2,0,0,0,0,1,0,0,0,1,0,3,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,11,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,16,36,0
37,0,0,2,0,0,0,7,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,2,0,0,0,15,1,2,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,5,3,4,0,4,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,3,3,0,4,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,0
38,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,1,0,0,7,1,1,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,1,15,0,14,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,38,0
39,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,3,2,1,1,0,0,0,10,1,1,1,0,0,0,1,0,1,0,1,0,3,0,0,0,0,3,2,2,0,6,0,2,0,0,3,1,2,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,3,1,2,9,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,39,0
40,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,6,0,0,0,0,9,0,0,0,6,0,4,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,8,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16,40,0
41,1,0,0,0,0,0,2,0,3,0,0,1,3,0,0,0,0,0,0,7,0,2,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,6,1,0,0,0,0,3,0,0,0,1,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,9,0,13,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,16,41,0
42,1,0,1,0,0,0,5,0,2,0,0,0,6,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,2,1,3,0,0,0,10,1,1,1,0,0,0,1,0,3,0,1,2,0,0,0,0,0,4,1,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,2,0,0,7,1,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,16,42,0
43,0,0,1,0,0,0,6,0,2,0,0,0,6,0,1,0,0,2,1,4,0,0,0,0,0,1,0,0,1,1,3,0,0,0,9,1,1,1,0,0,2,1,0,4,1,1,2,0,0,0,0,0,3,2,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,8,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,43,0
44,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,1,0,0,0,11,1,1,1,0,0,0,1,0,1,0,1,0,5,0,0,0,0,3,3,2,0,10,0,0,0,0,5,0,0,1,0,0,1,3,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,5,2,3,0,0,3,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,0
45,0,0,3,0,0,0,7,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,3,0,0,0,14,1,3,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,6,5,6,0,1,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,0
