,4dwm,acroread,aout,arch,as,as1,awk,basename,bc,cat,cc1,cfe,chmod,col,compress,cpp,date,download,driver,dvips,emacs20,endsessi,enscript,env,ex,expr,faces,fifo,file,find,finger,ftp,gcc,generic,gethost,getopt,getpgrp,gettxt,grep,gs,hostname,hpost,id,ispell,kill,ksh,last,launchef,lcc,ld,ld_,less,ln,lock,lp,lpr,ls,mail,make,man,maplesy,mapletty,mediamai,metamail,mkdir,mkpts,more,moviepla,mplotcha,mplotps,mplotx11,nawk,neqn,netscape,netstat,nm,nroff,passwd,pine,post,postprin,ppost,pq,pr,ps,q_eg,q_egtest,q_test,quota,rcc,reaper,rlogin,rm,rmdir,rsh,sed,sendmail,setup,sh,shownona,showps,sleep,ssh,stty,tail,tar,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,tr,true,tset,tty,ugen,uname,unlock,unpack,unzip,userenv,virtex,wait4wm,whoami,xauth,xbiff,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xinitrc,xprop,xrdb,xrn,xset,xsetroot,xterm,xwsh,User,Segment,Label
17,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,1,0,2,1,1,0,0,0,10,1,1,1,8,1,0,2,0,0,0,0,3,0,2,0,0,0,0,2,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,3,0,0,0,0,0,0,0,0,4,1,0,3,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,2,0,0,0,0,3,0,11,17,0
18,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,9,1,1,1,0,1,0,6,0,1,0,0,3,0,4,0,0,0,0,2,1,2,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,5,0,0,1,0,2,0,0,0,4,0,0,0,1,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,11,18,0
19,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,3,0,0,0,4,0,1,1,0,3,0,3,0,1,0,0,1,0,8,0,0,0,0,4,2,2,0,1,2,0,0,0,0,4,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,11,19,0
20,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,10,1,2,1,0,1,0,4,0,2,0,0,1,0,2,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0,0,0,0,1,0,0,0,4,2,0,0,1,0,0,0,0,4,1,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,11,20,0
21,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,2,2,2,0,0,7,0,1,2,0,2,0,1,0,1,0,0,0,0,4,0,0,0,0,4,3,4,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,11,21,0
22,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,10,1,2,1,0,2,0,2,0,2,0,0,0,0,4,0,0,0,0,2,2,3,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,7,0,8,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,22,0
23,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,8,0,1,0,0,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,3,0,8,0,0,1,0,2,0,0,0,0,1,0,3,1,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,6,2,1,0,4,0,4,0,11,23,0
24,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,1,0,2,1,1,0,0,0,10,1,2,1,8,2,0,3,0,1,0,0,2,0,2,0,0,0,0,3,2,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,2,0,0,0,0,0,0,0,0,4,1,0,3,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,2,0,11,24,0
25,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,8,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,15,0,1,0,0,0,0,0,12,12,0,6,0,1,0,4,0,0,0,11,25,0
26,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,10,1,0,1,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,2,2,2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,6,0,7,0,0,0,0,1,0,0,0,4,1,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0
27,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,8,1,0,8,0,1,0,0,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,5,0,0,1,0,2,0,0,0,0,0,0,3,1,1,0,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,4,0,11,27,0
28,0,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,2,1,2,0,0,0,13,1,1,2,0,2,0,3,0,1,0,0,1,0,4,0,0,0,0,4,4,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,3,0,5,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,28,0
29,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,2,1,2,0,0,0,10,1,1,1,0,2,0,1,0,1,0,0,0,0,6,0,0,0,0,3,2,2,0,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,6,0,12,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,29,0
30,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,2,1,1,3,0,0,10,1,1,1,0,1,0,1,0,1,2,0,2,0,2,0,0,0,0,2,2,2,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,6,0,7,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,11,30,0
31,2,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,3,0,0,2,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,8,2,2,0,6,0,3,0,11,31,0
32,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,2,1,3,0,0,0,10,1,1,1,0,3,0,3,0,1,0,0,2,0,4,0,0,0,0,3,2,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,3,0,0,5,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,2,0,0,0,11,32,0
33,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,1,0,2,1,2,1,0,0,10,1,1,1,0,2,0,3,0,2,0,0,2,0,4,0,0,0,0,3,2,2,0,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,7,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,33,0
34,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,11,1,2,1,0,2,0,3,0,1,0,0,1,0,2,0,0,0,0,2,2,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,5,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,34,0
35,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,3,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,9,1,0,1,8,0,0,6,0,0,0,0,4,0,2,0,0,0,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0,0,3,0,0,0,0,1,0,0,0,4,1,0,3,1,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,2,1,0,0,0,4,0,11,35,0
36,0,0,0,3,0,0,1,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,3,0,1,1,0,2,0,6,0,1,0,0,6,0,6,0,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,4,0,0,0,4,0,1,0,11,36,0
37,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,1,0,3,1,1,0,0,0,17,2,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,3,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,37,0
38,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,1,0,2,1,1,0,0,0,10,1,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,2,2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,15,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,3,0,5,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11,38,0
39,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,9,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,6,0,0,1,0,3,0,0,0,0,0,0,3,2,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,1,4,0,3,0,11,39,0
40,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,9,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,7,0,0,1,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,6,2,1,0,4,0,3,0,11,40,0
41,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,9,1,2,1,0,2,0,5,0,2,0,0,3,0,6,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,5,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,11,41,0
42,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,1,4,1,0,1,1,0,0,0,0,1,0,3,1,1,0,0,0,11,1,1,1,0,1,0,3,0,1,0,0,1,0,6,0,0,0,0,2,3,2,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,3,0,0,7,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,42,0
