,aacdec,aiffplay,as,as1,aupanel,awk,basename,bash,bc,be,bison,cal,cat,catalog,cc1,cfe,chmod,cmp,col,cpp,date,dbx,dbxpcs,df,dict,diff,dirname,download,driver,du,dvipost,dvips,edg_prel,edgcpfe,emacs20,endsessi,engine,euphony,euphony3,ex,expr,fecc,fifo,file,filt,find,finger,flex,fmt,gcc,gdb,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gordon,gp,grep,gs,gzip,hostname,hpost,id,ispell,kludgepl,ksh,launchef,lc,ld,ld_,less,ln,lock,lp,ls,magmaex,mail,make,man,maplesy,mapletty,mc,mediamai,mkdir,mkpts,mplottek,nawk,neqn,netscape,netstat,nm,nm_elf,nroff,nslookup,patch,pg,post,postprin,ppost,pq,pr,ps,purifys,reaper,rm,rmdir,sed,sendmail,sh,sort,spec,strings,stty,sum,tail,tar,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,testfont,top,touch,tput,tr,true,tset,tty,twm,ugen,uname,unlock,unpack,uudecode,virtex,w3c,wait4wm,wc,wdefine,whereis,window_t,xbiff,xdm,xdvi,xdvirea,xhost,xlsfonts,xmodmap,xprop,xset,xsetroot,xterm,User,Segment,Label
21,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,7,0,1,1,0,1,0,0,0,0,0,7,1,1,1,0,1,0,0,4,1,1,2,0,1,0,0,0,0,0,0,0,1,2,1,2,3,0,3,0,0,2,0,0,0,1,0,0,8,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0
22,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,10,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,0,0,2,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,5,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,18,22,0
23,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,9,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,9,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,23,0
24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,47,0,1,0,0,0,0,0,0,0,0,0,3,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0
25,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,4,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,25,0
26,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,8,0,0,3,3,0,0,1,0,2,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,4,0,1,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,2,18,26,0
27,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,3,3,2,0,0,3,3,0,0,0,0,0,7,0,13,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,1,2,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,0
28,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,18,28,0
29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,8,0,0,0,6,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,2,2,2,2,3,18,29,0
30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,5,0,0,0,0,0,0,10,1,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,18,30,0
31,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,9,6,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,0
32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,5,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,2,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,18,32,0
33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,6,2,0,0,5,0,10,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,9,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,33,0
34,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,10,2,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,2,2,2,2,5,18,34,0
35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,7,7,0,0,0,0,0,14,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,35,0
36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,18,36,0
37,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,12,0,0,5,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,4,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,18,37,0
38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,3,1,8,0,0,5,6,0,0,0,0,0,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,3,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,18,38,0
