,4dwm,ar,autoconf,awk,bc,be,cat,cfe,chmod,cmp,configg,configs,configur,conftest,cpp,date,detex,download,dpost,drf,driver,dvipost,dvips,echo,egrep,emacs20,endsessi,env,eqn,ex,expr,faces,fec,fgrep,fifo,fig2dev,file,find,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gmake,grep,gs,hostname,hpost,id,inline,ksh,launchef,lc,ld_,ln,lock,lp,lpdsend,lpr,ls,m4,mailx,make,mc,mimencod,mkdir,mkpts,more,nawk,netscape,netstat,post,postprin,ppost,pq,pr,pwd,reaper,rm,rmdir,sed,sendmail,sh,sleep,sort,spell,sprog,stty,tail,tbl,tcpostio,tcppost,tektroni,tel,tellwm,test,toolches,touch,tr,troff,true,uname,unlock,userenv,virtex,wait4wm,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
21,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,10,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,2,2,0,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,9,14,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,0
22,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,10,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,0,0,3,0,6,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,4,1,2,3,13,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,22,0
23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,3,0,1,0,0,2,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,12,17,0,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0
24,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,6,0,2,0,0,0,4,2,0,0,0,0,0,0,1,2,0,0,0,3,0,2,1,16,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,6,3,3,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0
25,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,3,2,0,0,0,3,0,1,2,14,1,2,2,0,0,0,2,0,2,1,2,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,2,3,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0
26,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1,2,13,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,3,3,3,0,0,5,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,5,2,3,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0
27,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,3,0,2,1,16,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,5,3,3,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,4,1,3,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0
28,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0,3,0,1,1,14,1,1,1,4,0,0,1,0,2,1,1,0,0,2,0,0,3,3,2,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,0,6,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,24,28,0
29,2,0,0,0,0,0,3,0,5,0,0,0,0,0,2,5,0,0,0,0,0,0,0,12,0,0,2,2,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,11,2,0,0,0,5,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,2,1,2,2,0,0,24,29,0
30,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,0,1,2,9,1,1,1,0,0,0,1,0,3,1,1,0,0,0,0,0,3,1,2,0,0,3,0,2,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,4,1,2,3,10,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24,30,0
31,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,2,11,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,3,3,3,0,0,3,0,3,0,0,0,2,0,0,2,0,0,0,1,3,0,2,0,0,3,1,2,3,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,0
32,0,0,0,2,2,0,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,1,14,1,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,4,3,3,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,2,6,0,1,0,0,4,1,3,0,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,0
33,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,2,3,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,2,0,1,1,12,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,2,2,0,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,1,4,6,4,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,0
34,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,3,0,1,1,14,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,0,0,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,5,0,6,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,0
35,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,2,0,1,1,10,1,1,1,0,0,0,1,0,1,1,1,0,0,2,0,0,2,2,2,0,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,4,9,6,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,35,0
36,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,10,1,1,1,0,0,0,1,0,1,1,1,0,0,12,0,0,2,2,2,0,0,3,0,4,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,4,1,2,3,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24,36,0
37,2,0,0,0,0,0,2,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,2,0,0,0,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,2,1,1,0,0,4,2,1,2,2,1,0,24,37,0
38,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,10,0,1,1,0,0,0,1,0,1,0,1,0,0,6,0,0,2,2,2,1,0,3,0,6,0,0,0,1,0,0,1,3,1,2,0,0,2,0,0,0,3,1,2,6,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,38,0
39,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,2,2,1,3,9,1,2,1,0,0,0,1,0,6,0,2,0,0,4,0,0,2,1,3,0,1,4,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,0,2,3,5,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,0
40,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,2,14,1,2,2,0,0,0,2,0,2,0,2,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,4,2,3,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0
41,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,3,15,1,4,1,0,0,0,4,0,4,1,4,0,0,0,0,0,2,1,5,0,0,5,0,0,0,0,0,1,0,0,4,0,0,0,1,3,0,1,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,0
42,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,17,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,1,3,1,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,5,0,2,0,0,0,0,0,4,0,4,1,1,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,0
43,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,3,13,0,3,1,0,1,0,3,1,3,0,3,0,0,0,0,0,2,3,4,1,0,3,0,2,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,3,1,2,3,5,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,43,0
44,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,11,0,2,1,0,0,0,2,0,3,0,2,0,0,6,0,0,2,2,3,1,0,4,0,4,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,3,1,2,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24,44,0
45,0,0,0,1,0,0,4,0,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,3,9,0,2,1,0,0,0,2,0,3,0,4,0,0,0,1,0,3,1,3,0,0,11,0,0,0,1,0,3,0,0,2,1,1,2,0,0,0,0,1,0,3,0,2,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,0
46,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,15,0,2,1,0,0,0,2,0,2,0,2,0,0,0,0,0,2,2,3,2,0,5,0,4,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,5,2,3,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24,46,0
47,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,2,1,0,1,0,1,0,0,0,0,0,4,0,0,1,0,4,0,0,1,0,6,0,1,0,0,6,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0,0,0,3,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,1,1,1,0,0,1,1,1,1,1,2,2,24,47,0
48,0,0,0,2,2,0,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,1,13,1,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,4,3,3,0,0,4,0,1,0,0,0,2,0,0,1,0,0,0,2,6,0,1,0,0,5,1,2,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,0
49,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,3,0,1,1,11,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,0,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,6,6,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,0
50,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,3,0,1,1,16,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,5,0,3,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,2
51,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,2,0,2,2,11,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,2,2,3,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,1,6,0,3,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,51,2
52,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,1,10,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,0,0,3,0,8,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,3,1,2,12,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,52,2
