,4dwm,acroread,arch,awk,basename,cal,cat,chmod,co,col,convert,cpp,csh,date,detex,dirname,download,drf,dvipost,dvips,egrep,emacs20,endsessi,env,ex,expr,faces,false,fifo,file,find,finger,ftp,gawk,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gsftopk,gzip,hexbin,hostname,hpost,id,java,java_wr,javac,jot,kill,ksh,launchef,lmstat,ln,lock,lp,lpdsend,lpq,lpr,ls,mail,maketexp,man,matlab,matlab_l,mediamai,metamail,mimencod,mkdir,mkpts,more,mp,nawk,neqn,netscape,netstat,nroff,ping,popper,post,pq,ps,pwd,quota,reaper,richtext,rlogin,rm,rmdir,sed,sendmail,sgihelp,sh,shownona,showps,sleep,sort,spell,sprog,stty,tail,talk,tbl,tcpostio,tcppost,tcsh,tektroni,telnet,test,toolches,touch,tput,tr,true,ul,uname,unlock,unpack,userenv,uudecode,virtex,wait4wm,webmagic,whoami,whois,xconfirm,xdm,xdvi,xdvirea,xhost,xloadima,xrdb,xsession,xsetroot,xterm,User,Segment,Label
10,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0
11,0,0,0,0,0,0,3,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,12,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,34,11,0
12,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0
13,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,0
14,0,0,0,1,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,0,0,3,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,4,1,0,0,0,0,3,0,2,0,0,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,3,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,34,14,0
15,0,0,0,1,0,0,6,0,0,0,0,0,2,6,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,17,1,1,1,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,2,1,0,0,5,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,3,3,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,0
16,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,8,0,0,0,4,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,34,16,0
17,0,0,0,1,0,0,4,0,0,0,0,0,0,4,2,0,1,2,0,3,2,0,0,0,0,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0,3,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,2,0,0,3,0,0,0,4,4,2,0,0,0,0,4,1,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,34,17,0
18,0,0,0,2,0,0,7,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,2,2,0,0,0,16,5,2,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,3,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,0
19,0,0,0,1,0,0,9,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,1,1,0,0,0,21,7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,3,6,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,19,0
20,0,0,0,2,0,0,7,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0,0,0,16,5,2,3,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,3,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,3,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,20,0
21,0,0,0,1,0,0,8,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,2,2,0,0,0,19,6,2,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,21,0
22,0,0,0,3,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,2,0,0,0,17,1,2,3,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,0
23,0,0,0,0,0,0,9,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,23,0
24,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,15,0,23,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0
25,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,0
26,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0
27,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,8,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,0
28,0,0,0,0,0,0,1,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,9,0,0,3,0,10,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,0
29,1,0,0,0,0,0,2,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,1,0,1,19,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,34,29,0
30,1,0,0,1,0,0,4,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,1,2,0,0,0,2,2,0,0,0,0,3,0,0,0,1,12,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,34,30,0
31,1,0,0,0,0,0,3,0,0,0,0,1,7,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,12,0,21,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,34,31,0
32,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,0,0,0,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,15,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,32,0
33,1,0,0,1,0,0,5,0,0,0,0,1,7,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,2,2,0,0,0,3,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,1,2,0,0,13,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,34,33,0
34,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,4,2,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,34,0
35,0,0,0,2,0,0,7,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,15,2,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,3,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,1,3,3,0,6,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0
36,0,0,0,1,0,0,6,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,14,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,2,0,0,0,5,1,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,5,1,2,3,0,9,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0
37,0,0,0,1,0,0,6,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,9,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,3,2,0,0,0,0,2,0,0,0,0,12,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,2,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,0
38,1,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,6,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,38,0
39,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,0
40,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,0
41,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,0
42,0,16,1,0,3,0,6,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,1,3,0,0,1,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,34,42,0
43,0,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,31,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,34,43,0
44,0,0,0,2,0,0,7,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,0,0,13,1,2,2,0,2,3,2,0,0,0,3,0,2,0,0,0,0,0,0,2,0,4,3,4,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,0
