,4dwm,aacdec,acroread,aiffplay,arch,awk,bc,bibtex,cat,chmod,col,compress,cpp,csh,date,df,dirname,download,dvips,egrep,emacs20,endsessi,env,ex,expr,f2ps,faces,fifo,file,find,finger,gawk,generic,gethost,getopt,getpgrp,gettxt,gftopk,ghostvie,grep,gs,gzip,head,hostname,hpost,id,ispell,kill,launchef,lks,lmstat,ln,lock,lp,lpdsend,lpr,ls,mail,maketexp,man,maplesy,matlab,matlab_l,mediamai,mkdir,mkpts,more,movemail,nawk,netscape,netstat,nscal,nslookup,ping,post,postprin,ppost,pq,pr,ps,pwd,rdistd,reaper,resize,rlogin,rm,rmdir,rshd,sed,sendmail,sh,sleep,soundpla,ssh,stty,tail,tar,tcpostio,tcppost,tcsh,tektroni,tellwm,telnet,toolches,touch,tput,true,tset,ul,uname,unlock,unpack,userenv,uudecode,uuencode,virmf,virtex,wait4wm,whereis,which,whoami,xauth,xbiff,xcalc,xclock,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xmaplev5,xprop,xrdb,xsetroot,xterm,xv,xwsh,User,Segment,Label
10,0,0,0,0,0,1,1,0,7,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,13,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,10,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,4,1,0,2,6,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
11,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,24,0,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,8,3,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,11,0
12,1,0,0,0,0,0,0,0,3,0,0,0,2,14,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,7,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,2,1,1,0,3,10,12,0
13,1,0,0,0,0,0,0,0,4,0,0,0,2,12,0,0,0,0,0,0,5,2,1,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,12,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,12,3,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,10,13,0
14,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,10,14,0
15,1,0,0,0,0,0,0,0,4,0,0,0,2,13,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,1,9,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,7,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,1,1,0,1,10,15,0
16,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,2,0,0,2,1,2,0,0,11,1,2,1,0,0,0,2,0,0,0,2,0,2,0,0,3,0,0,2,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0
17,0,0,0,0,0,1,0,0,4,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,9,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,4,0,0,3,2,1,0,0,11,1,0,0,0,0,0,0,0,0,0,12,0,8,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,0,2,6,4,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,17,0
18,1,0,0,0,0,0,0,0,4,0,0,0,2,14,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,1,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,7,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,1,0,0,2,10,18,0
19,0,0,11,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,6,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,10,19,0
20,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,9,2,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,3,10,20,0
21,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,1,10,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,4,10,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,12,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,10,21,0
22,1,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,1,2,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,14,4,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,2,10,22,0
23,0,0,0,0,0,0,0,0,3,0,0,0,2,11,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,10,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,12,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,8,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,1,0,0,10,23,0
24,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,1,2,2,0,0,10,0,3,2,0,0,0,3,0,0,0,3,0,3,0,0,2,0,0,5,3,5,0,0,2,0,0,0,0,0,0,0,1,0,0,2,3,8,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,24,0
25,0,0,0,0,0,1,0,0,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0,0,3,1,2,0,0,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,3,1,3,0,10,0,0,0,0,0,0,0,0,0,0,4,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0
26,1,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,7,0,0,0,0,0,4,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,1,0,0,0,4,0,0,0,0,0,0,2,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,2,10,26,0
27,1,0,0,0,0,0,0,0,4,0,1,0,2,12,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,1,8,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,2,4,0,3,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,1,1,0,1,10,27,0
28,0,5,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,4,0,24,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,3,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0
29,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,10,0,7,1,0,0,0,0,0,0,0,0,5,4,0,0,0,2,1,0,0,0,6,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,29,0
30,0,0,0,0,0,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0
31,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,27,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,0
32,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,0
33,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0
34,0,0,0,0,0,0,0,0,6,0,0,0,2,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,10,34,0
35,0,0,0,0,0,1,0,0,4,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,6,1,1,1,0,0,0,1,0,0,0,3,0,1,0,0,10,0,0,2,1,2,0,0,7,2,0,0,0,0,0,0,1,0,0,12,1,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,35,0
36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,0,5,0,1,0,0,0,2,1,2,1,0,1,0,1,0,0,4,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,8,1,26,2,0,0,0,1,0,0,0,0,0,1,0,0,0,5,3,1,0,1,0,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,0
37,0,0,0,0,0,1,0,0,4,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0,1,0,0,2,0,2,1,0,2,0,0,0,0,2,0,0,4,2,1,0,0,11,1,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,1,0,2,3,5,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,37,0
38,1,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,6,2,0,0,0,0,1,0,0,3,8,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,10,38,0
39,0,0,0,0,0,0,0,0,3,0,0,0,2,10,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,6,0,1,0,1,8,0,0,1,0,0,0,0,11,6,0,0,0,0,0,0,0,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,10,39,0
40,0,0,0,0,0,1,0,0,4,1,0,0,0,0,4,0,0,1,1,0,1,0,0,0,1,0,0,2,1,3,1,0,10,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,11,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,3,1,0,2,3,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,40,0
41,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,4,12,0,13,1,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,0
42,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,0,10,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0,11,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,8,3,1,0,2,3,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,0
43,1,0,0,0,0,0,0,0,2,1,0,0,2,11,0,0,0,0,3,0,2,2,1,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,1,2,4,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,2,0,1,0,4,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,0,0,0,2,10,43,0
44,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,10,2,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,6,4,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,10,44,0
