,4dwm,acroread,awk,basename,bc,capture,cat,chkconfi,chmod,cled,cled_jct,compress,cpp,date,detex,devmoti,diff,download,dpost,drf,dvips,echo,egrep,emacs20,endsessi,env,ex,expr,expreser,exrecove,false,fgrep,fifo,file,find,finger,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gzip,help,hostname,hpost,id,ispell,kill,ksh,launchef,less,ln,lock,lp,lpdsend,lpq,ls,mail,man,mediamai,metamail,mimencod,mkdir,mkpts,more,nawk,netscape,netstat,platform,post,postprin,ppost,pq,reaper,resize,richtext,rlogin,rm,rmdir,sed,sendmail,sh,shownona,showps,sleep,slmclien,slmhelpe,sort,spell,sprog,sqpe,ssh,stty,tail,talk,tar,tcpostio,tcppost,tcsh,tektroni,tellwm,telnet,test,toolches,touch,tput,tr,troff,true,tset,tty,uname,unlock,userenv,uudecode,virtex,wait4wm,whereis,whoami,xauth,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
10,0,0,1,0,0,0,4,0,0,0,0,0,0,4,1,0,2,1,0,0,2,0,0,0,0,0,5,1,0,0,0,0,2,1,1,0,0,10,1,1,1,0,3,1,3,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0,3,0,0,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,3,1,2,2,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0
11,0,0,1,0,1,0,6,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,2,0,0,12,1,2,2,0,0,2,0,0,0,2,1,2,0,0,0,0,0,3,3,4,0,0,4,0,0,2,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,2,1,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0
12,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,11,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,2,3,2,0,0,7,0,0,3,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,5,2,3,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0
13,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,13,0
14,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,6,1,1,1,0,1,1,3,0,0,1,0,1,0,0,1,2,0,2,1,2,0,0,6,0,0,6,0,0,0,0,8,1,3,1,0,2,0,0,0,0,0,0,0,1,0,1,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0
15,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,1,0,3,0,0,2,0,0,0,0,6,2,0,0,1,0,0,0,7,0,0,5,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,5,1,1,7,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,6,0,13,15,0
16,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,8,0,1,0,0,4,4,0,0,0,0,0,0,2,0,0,2,0,0,0,1,13,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,13,16,0
17,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,6,1,0,0,0,0,2,1,1,0,0,10,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,9,0,0,4,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,2,12,5,0,0,0,0,0,2,2,1,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0
18,0,0,2,0,1,0,8,0,0,0,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0,0,0,2,2,2,0,0,11,1,2,1,0,1,2,1,0,0,2,1,2,0,0,0,0,0,3,2,3,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,0
19,0,0,1,0,1,0,8,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,18,2,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,3,3,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,0,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0
20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,6,2,0,0,1,0,0,0,3,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,9,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,6,0,13,20,0
21,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,6,0,0,0,0,0,0,2,0,0,5,0,0,1,1,4,0,4,1,0,0,0,0,0,1,0,0,0,2,0,0,6,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,13,21,0
22,0,0,2,0,2,0,9,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,3,2,0,0,0,0,1,2,2,0,0,10,1,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,5,3,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0
23,0,0,1,0,1,0,8,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,16,2,1,1,0,2,1,1,0,0,1,1,1,0,0,0,0,0,2,2,2,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,4,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0
24,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,8,0,0,0,0,0,2,0,0,0,0,6,4,0,0,1,0,0,0,5,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,1,9,7,0,0,0,0,0,2,2,1,0,0,0,0,0,0,4,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,6,0,13,24,0
25,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,3,4,0,0,0,0,0,0,6,0,0,5,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,14,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,13,25,0
26,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,5,0,28,0,0,0,1,0,7,6,4,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0
27,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,9,8,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,0,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,8,0,0,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,27,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0
29,0,0,2,0,1,0,9,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,16,2,2,2,0,0,2,0,0,0,2,1,2,0,0,0,0,0,4,3,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,1,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0
30,0,0,1,0,1,0,7,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,1,1,0,0,14,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,2,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,5,2,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0
31,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,9,2,0,0,1,0,0,0,1,0,0,2,0,0,1,1,1,0,29,0,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,31,0
32,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,9,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,5,0,1,0,0,2,4,0,0,0,1,0,0,10,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,6,5,0,0,0,0,0,4,4,2,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,0
33,1,0,1,0,0,0,3,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0,1,4,0,0,0,0,0,2,0,0,0,0,6,4,0,2,2,1,0,0,3,0,0,2,0,0,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,4,1,2,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,6,0,13,33,0
34,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,1,3,0,0,7,0,1,0,0,3,4,0,0,0,1,0,0,2,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,9,6,0,0,0,0,0,2,2,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,7,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,34,0
35,0,0,2,0,1,0,10,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,1,0,0,18,2,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,3,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,0
36,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,4,1,0,1,0,0,9,0,1,0,0,9,6,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,7,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,36,0
37,0,0,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,10,1,0,1,0,1,1,35,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,0
38,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,8,0,0,0,0,9,6,0,0,0,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,38,0
39,0,0,1,0,0,0,4,0,0,0,0,0,0,4,2,0,0,1,0,0,3,0,0,0,0,0,7,1,0,0,0,0,2,1,1,0,0,10,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,2,3,2,0,0,0,0,0,4,4,2,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,39,0
40,1,0,1,0,0,0,4,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,1,0,0,10,1,1,1,4,0,1,0,0,0,2,0,1,0,0,6,2,0,3,2,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,6,0,13,40,0
41,0,0,1,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,0,3,0,1,1,0,1,1,1,0,0,8,0,1,0,0,3,6,0,2,1,2,0,0,1,0,0,0,0,0,0,1,1,1,4,1,0,2,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,2,2,1,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,7,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,41,0
42,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,1,1,0,0,8,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6,1,1,0,0,17,0,0,2,0,0,2,0,2,1,6,0,0,0,0,0,0,0,0,0,0,8,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,0
43,1,0,1,0,1,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,9,1,0,1,4,0,0,0,0,0,2,1,0,0,0,6,2,0,2,2,1,0,0,3,0,0,1,0,0,0,0,2,0,2,0,0,0,1,3,0,0,0,0,2,5,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,6,0,13,43,0
44,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,4,6,0,0,0,0,0,0,5,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,2,2,0,0,13,44,0
45,1,0,1,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,1,2,0,0,8,0,1,0,0,9,4,0,1,0,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,6,0,13,45,0
