,4dwm,awk,bc,be,cat,chmod,cmp,col,compress,configur,cpp,cut,date,devx11,diff,download,driver,dvips,egrep,elm,endsessi,env,ex,expr,expreser,faces,fec,fifo,file,find,finger,formatd,generic,gethost,getopt,getpgrp,getsampl,gettxt,ghostvie,grep,gs,gzip,head,help,helpfin,helpkey,helpsor,helptop,hostname,hpost,ht,id,init_src,kill,ksh,launchef,ld_,less,ln,lo,lock,lp,lpq,lpr,ls,mail,mailx,man,mediamai,mkdir,mkpts,more,nawk,neqn,netscape,netstat,nroff,perl,ping,platform,post,postprin,postreve,ppost,pq,printf,ps,pwd,randseq,reaper,resize,rlogin,rm,rmdir,rwho,sample,sed,sendmail,sh,shelpmot,showps,sleep,slmclien,slmhelpe,sort,sqpe,stty,tail,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,tr,true,tset,twm,ul,uname,unlock,unpack,unzip,userenv,virtex,wait4wm,wc,whereis,xclock,xconfirm,xdm,xdvi,xdvirea,xfontsel,xgobi,xhost,xload,xman,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
10,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,1,0,5,0,0,4,1,0,0,0,2,1,1,0,0,10,1,1,1,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,1,2,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,2,3,5,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,25,10,0
11,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0,2,8,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,0,3,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,3,0,1,0,0,1,1,1,5,0,25,11,0
12,0,1,0,0,5,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,0,10,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,2,0,2,2,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,3,14,0,0,1,0,1,0,0,0,0,0,4,1,0,0,1,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0
13,0,1,0,0,5,0,0,0,0,0,0,0,4,1,0,1,0,0,0,7,0,0,2,1,0,0,0,2,1,1,0,0,10,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,2,0,0,2,0,2,2,0,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,3,5,0,0,0,1,0,0,1,1,0,0,4,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0
14,0,2,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2,0,0,1,3,0,0,0,2,2,2,0,0,16,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,3,4,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,0
15,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,2,0,0,0,3,1,1,0,0,17,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,5,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0
16,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,1,1,0,0,0,2,1,1,0,0,14,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,2,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,16,0
17,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,0,0,2,0,0,0,0,0,15,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,2,0,1,0,0,1,1,1,3,2,25,17,0
18,2,0,0,0,4,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,2,0,0,2,2,2,1,1,25,18,0
19,1,0,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,8,0,0,2,1,0,0,0,0,9,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,25,19,0
20,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,3,25,20,0
21,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,28,0,0,0,0,27,0,0,1,0,0,4,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,25,21,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,0,0,19,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25,22,0
23,1,1,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,4,2,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,0,0,3,0,0,0,0,23,0,0,0,0,4,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,2,25,23,0
24,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,9,1,0,1,0,0,5,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,2,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,7,0,0,1,0,0,0,0,5,0,0,4,1,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0
25,0,2,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,2,2,0,0,16,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,3,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0
26,0,2,0,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,2,2,0,0,16,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,3,3,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0
27,1,0,0,0,3,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,8,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,3,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,4,0,0,2,0,0,0,0,17,0,0,4,1,5,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,2,25,27,0
28,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,5,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,9,0,0,3,0,0,0,0,16,0,0,0,0,4,0,3,0,0,3,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25,28,0
29,1,1,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,3,0,0,0,0,1,1,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,19,0,0,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,25,29,0
30,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,1,8,0,0,1,0,0,5,1,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,13,0,2,2,0,0,0,0,13,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0
31,0,2,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,10,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,2,0,2,2,0,0,4,4,0,0,0,0,0,3,1,0,16,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0
32,1,0,0,0,2,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,9,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,2,1,0,0,3,1,0,0,0,0,1,2,0,0,9,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,9,0,0,1,0,0,0,0,4,0,0,4,1,3,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,2,25,32,0
33,1,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,7,0,0,1,0,0,0,0,14,0,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,1,0,25,33,0
34,0,2,0,0,6,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,2,2,0,0,13,3,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,4,0,3,4,0,0,4,3,0,0,0,0,0,0,2,0,7,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0
35,1,0,0,0,5,0,0,0,0,0,1,0,8,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,13,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,8,1,7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,25,35,0
36,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,7,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,2,25,36,0
37,0,1,0,0,5,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,6,0,0,0,1,0,1,0,0,3,6,0,0,0,0,1,7,1,0,13,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,25,37,0
38,0,2,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,19,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,6,0,5,5,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,0
39,1,0,0,0,4,0,0,0,0,0,1,0,8,0,0,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,10,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,8,1,9,2,1,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,2,25,39,0
40,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,1,0,8,0,0,2,0,2,2,0,0,0,7,0,0,2,0,0,4,2,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,3,14,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25,40,0
41,0,2,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,10,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,4,0,3,4,0,0,1,3,0,0,0,0,0,2,1,0,21,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,0
