,telnet netscape,xconfirm endsessi,virtex virtex,xterm bash,mkpts uname,telnet bash,ls generic,uname bash,getopt true,telnet telnet,ls sed,mimencod sh,ls expr,launchef hostname,cat cat,sendmail bash,ls sh,cat hpost,cat generic,ls launchef,Unnamed: 0,gettxt gettxt,date lp,sh rm,rm ls,rm sh,stty ls,bash userenv,xterm netscape,cat file,gs gs,cat post,sh man,stty env,true grep,showps rm,ln find,download tcpostio,echo echo,bc date,sendmail hostname,sh hostname,generic cat,sh showps,acroread expr,awk ppost,matlab_l ls,sendmail sh,gettxt xconfirm,sed uudecode,generic ln,ls tcpostio,date cat,post awk,userenv wait4wm,expr generic,sh lock,lock hostname,generic ls,lock generic,generic lp,awk cat,postprin cat,netscape sendmail,ln ln,tcppost sh,lp ln,xdvi virtex,driver make,sed fifo,ln ls,bash xterm,sendmail rm,sh tcpostio,sh getpgrp,ls ftp,endsessi tellwm,cat date,egrep bash,sendmail netscape,sh ls,mkdir expr,tcpostio cat,xdvirea xdvi,launchef sh,date generic,unlock rmdir,xrdb cpp,mc lc,file post,rm unlock,ln generic,gs rm,echo sh,bash stty,gettxt hostname,ls egrep,ls arch,stty launchef,col ul,pwd uname,wait4wm xhost,sh cat,sh more,matlab_l matlab,tcpostio tcpostio,bc postprin,hostname gettxt,rm rm,cpp sh,less less,netstat netscape,env bash,generic rm,hostname id,download gethost,generic tcppost,virtex gs,fifo cat,cat sendmail,endsessi xdm,xrdb mkpts,sendmail sendmail,file ppost,mediamai csh,sh launchef,gs xdvi,sendmail telnet,find expr,sh xrdb,generic download,postprin date,pwd expr,telnet sendmail,showps showps,lock lock,ls less,fifo rm,xemacs1 sendmail,netscape ls,cat uname,ls rm,csh toolches,netscape sh,stty telnet,gzip ls,true ls,cat mail,cat sed,ls gs,xdvirea gs,sendmail launchef,rmdir generic,netscape netscape,tellwm xprop,hpost ppost,sendmail virtex,bash sendmail,ppost awk,gs hostname,getpgrp lock,lp getpgrp,sendmail xv,hostname cat,generic gethost,toolches sh,driver cfe,launchef launchef,ls bash,lock ls,ugen as1,rm hostname,gs xdvirea,id nawk,dvips hostname,lp find,post rm,sh mediamai,ls ln,sendmail xemacs1,expr pwd,uname true,xemacs1 ls,xterm hostname,download ls,xprop endsessi,gethost download,lc ls,gawk matlab_l,ps grep,sh sh,matlab arch,virtex xdvirea,sendmail ls,mailx sh,ls hostname,ls ls,lmstat gawk,mail csh,less ls,uudecode cat,csh cat,generic date,rm generic,more sh,sendmail mimencod,arch lmstat,sh mailx,cat ls,tr sh,mediamai sendmail,lmstat pwd,ls xemacs1,ls sendmail,ppost bc,ls mc,ppost rm,bash ls,true lmstat,true true,awk maplesy,expr ls,find mkdir,lp sh,bash bash,as1 driver,grep date,virtex dvips,sh sendmail,sh mimencod,ftp ls,uopt ugen,ls cat,col col,nawk getopt,lmstat nawk,nawk lmstat,xterm sendmail,xterm launchef,ul more,cat rm,gethost tcpostio,cfe uopt,lock sendmail,generic generic,rm mediamai,lmstat lmstat,xhost xsetroot,lock true,maplesy awk,Label
10,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,1,0,0,10,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,5,0,1,0,0
11,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1,0,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,12,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13,0,0,0,0,0,1,1,1,1,0,2,0,0,1,2,0,0,1,1,0,13,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,2,1,3,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,12,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
15,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,15,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,3,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,0,16,0,2,0,1,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,1,1,1,0,2,2,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
17,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,3,0,17,0,1,0,2,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
18,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,2,0,18,0,1,0,3,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2,0,1,1,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
19,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,19,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,4,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,7,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
20,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,0,20,0,2,0,1,0,0,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,2,1,0,1,0,2,2,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
