,mail less,stty tset,maplesy mapletty,magmaex magmaex,ls sed,mail uname,sendmail mail,virtex virtex,Unnamed: 0,gettxt gettxt,maplesy sh,tset magmaex,mail mail,date generic,fmt tcsh,xprop endsessi,tset less,nawk maplesy,tset uname,xterm mapletty,mapletty magmaex,magmaex uname,gs gs,uname nawk,expr w3c,gettxt hostname,mail tcsh,sed fifo,xterm sh,ex sendmail,xdvirea xdvi,purifys sh,tcsh mapletty,tput tcsh,gordon gordon,reaper sh,magmaex tcsh,euphony3 nawk,wait4wm xhost,sh cat,netscape netscape,sh engine,tcpostio tcpostio,mail tput,hostname gettxt,maplesy magmaex,sh mail,stty xmodmap,grep euphony3,hostname stty,tcsh cat,tcsh xterm,sendmail sendmail,mapletty ls,gettxt tellwm,w3c grep,endsessi sh,nawk uname,ls less,maplesy nawk,w3c w3c,xset stty,expr expr,xsetroot xset,mapletty tcsh,cat mail,engine sh,mapletty uname,tset ls,finger tput,xterm gettxt,xmodmap reaper,sh sh,w3c aacdec,sh xdm,ex mail,aacdec expr,expr dirname,tellwm xprop,ex fmt,less less,uname maplesy,ls ls,tput mail,sh less,netstat netscape,generic date,tcsh ex,tcsh hostname,xdm twm,ls ex,tset mail,nawk w3c,mail ls,maplesy cat,grep grep,twm xbiff,less ls,less sh,xhost xsetroot,Label
17,0,2,1,0,0,0,0,1,17,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,4,0,2,0,0,0,2,0,0,0,0,0,0,5,0,2,4,0,0,0,0,0,1,0,4,2,0,0,0,1,0,4,0,1,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,0,1,2,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0
18,2,1,0,0,0,0,1,0,18,2,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,1,4,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,3,1,0,1,0,5,2,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0
19,0,3,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,0,0,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0
20,0,2,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,1,0,0,1,0,0,0,4,0,3,0,0,0,1,0,0,1,0,4,2,0,1,0,0,0,7,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,1,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0
21,0,1,0,0,1,1,0,0,21,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,3,1,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
22,0,1,0,0,1,0,0,0,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,0,5,0,1,1,0,0,2,0,0,1,0,5,1,0,3,0,0,0,5,0,0,0,0,0,0,5,0,1,1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0
23,1,2,0,0,0,0,0,6,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,2,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,4,0,0,2,0,4,2,0,0,0,1,0,5,0,1,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,2,0,0,0,0,2,0,0,2,4,1,0,0,0,0,2,0,0
24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0
25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,14,0,0,2,0,0,0,0,4,0,0,4,0,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,4,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0
26,0,4,2,0,0,1,0,0,26,2,0,0,0,0,0,1,1,3,1,0,0,0,0,6,0,1,5,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,1,1,0,1,1,0,4,0,2,0,1,1,0,1,3,0,0,0,1,0,1,1,3,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,1,0,1,1,0
27,0,0,3,1,2,1,0,0,27,0,0,0,0,3,0,0,0,3,0,0,2,2,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,4,2,0,0,0,1,11,28,1,1,0,0,0,0,0,0,3,1,1,0,0,0,4,0,1,5,0,0,1,3,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,5,2,0,0,0,0,2,0,0,0,0,0,0,1,4,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
29,0,4,0,0,0,0,1,0,29,2,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,1,0,2,3,0,0,0,1,1,0,1,2,0,4,0,3,4,0,2,0,2,0,0,0,0,2,0,2,0,4,0,0,0,0,1,2,0,0,2,2,0,0,2,2,0,0,1,0,1,0,0,2,4,2,0,2,0,1,0,0,2,0,2,2,0
30,1,5,0,0,0,0,2,0,30,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,3,0,0,5,2,1,4,0,1,0,1,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,6,1,2,1,0,1,5,1,0,2,0,0,0,0,1,0,4,0,0
31,0,8,0,2,0,0,1,0,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,4,0,0,0,1,0,1,1,0,0
32,0,5,0,1,0,0,2,0,32,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,5,4,0,4,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,2,1,0
33,0,3,0,0,0,0,0,0,33,0,0,0,1,0,0,0,1,3,1,0,0,0,10,6,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,3,0,0,2,3,0,0,0,0,1,0,0,0,0,5,0,0
34,0,4,0,0,0,0,0,0,34,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,2,0,0,2,4,5,0,0,1,2,0,1,2,0,4,0,5,0,0,2,0,2,0,0,0,0,2,0,2,2,4,0,0,0,0,1,2,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,0,1,2,0
35,0,4,6,1,0,0,0,0,35,0,0,0,0,0,0,0,0,7,1,1,1,2,0,14,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,4,2,0,0,3,0,1,0,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,0,3,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
36,3,5,0,0,0,0,0,0,36,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,2,0,0,0,0,0,3,4,0,0,1,1,0,5,0,0,5,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,1,0,0,5,1,0,0,0,1,0,0,1,0,16,0,0
37,2,4,4,0,0,0,0,0,37,0,1,0,2,0,0,0,1,5,1,0,0,0,0,11,0,0,5,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,2,0,0,4,1,0,4,1,1,0,0,0,0,0,6,0,0,0,1,0,1,0,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,4,1,0
38,1,3,3,0,0,0,0,0,38,2,1,0,2,0,0,1,2,5,0,2,0,0,0,8,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,1,1,2,0,0,3,0,3,0,0,1,0,1,4,0,0,0,0,0,0,1,3,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,4,2,0,0,3,1,0,1,0,0,0,0,1,0,7,0,0
39,0,7,0,0,0,0,0,0,39,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,1,0,0,0,1,0,0,8,0,0
40,1,3,0,0,0,0,1,0,40,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,3,1,0,1,1,0,3,2,1,2,0,1,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,1,1,10,0,0,3,3,1,1,1,0,0,0,0,1,0,12,1,0
41,1,2,0,0,0,0,0,1,41,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,3,14,0,0,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,3,0,1,1,0,2,0,0,0,0,7,1,0
42,0,2,0,0,0,0,2,0,42,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,4,5,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0,1,0,0,0,1,1,1,0,0,0,0,1,1,6,3,1,0
43,0,3,0,0,0,0,1,0,43,4,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,1,1,0,0,1,0,2,0,0,1,2,4,0,0,3,2,0,2,2,0,4,0,2,1,0,2,0,2,0,0,0,0,1,0,1,0,4,0,0,0,0,2,2,1,0,2,0,0,0,2,0,0,0,0,2,2,1,0,0,4,2,1,1,0,1,0,0,2,0,4,1,0
44,0,4,0,0,0,0,1,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,3,0,1,0,0,1,2,14,0,0,5,0,0,2,1,0,4,2,0,6,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,5,1,0
45,0,2,2,0,0,0,0,0,45,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,0,2,2,0,0,2,0,2,0,2,0,0,2,0,2,0,0,4,0,2,0,2,1,2,0,0,0,6,2,2,0,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0
46,0,2,1,0,0,0,0,0,46,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,2,2,8,0,0,3,2,0,0,2,0,2,0,2,0,0,2,0,2,0,1,2,0,2,0,2,0,2,0,0,0,4,1,2,0,0,2,0,0,0,2,0,0,1,0,3,0,3,0,0,2,2,0,2,0,0,0,0,2,0,0,2,0
47,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,1,0,0,0,0,1,0,0
48,0,5,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,4,2,0,0,0,7,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
49,0,4,5,0,0,2,1,0,49,0,0,0,0,0,0,0,1,9,2,2,0,0,0,2,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,1,0,0,4,0,8,0,0,0,0,0,1,0,8,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0
50,3,4,2,0,0,1,1,7,50,0,1,0,4,0,0,0,0,6,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,4,0,1,2,1,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,None
51,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
52,0,1,0,0,2,0,0,11,52,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,None
53,0,5,0,0,0,0,0,0,53,2,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,1,6,0,1,0,0,0,0,0,0,1,0,0,1,5,6,0,0,1,1,0,1,1,0,5,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,5,1,0,1,0,0,0,0,1,0,1,1,None
54,0,5,1,7,0,0,0,0,54,0,1,0,0,0,0,0,0,8,2,3,0,1,0,0,0,0,6,0,2,0,1,0,0,1,0,0,1,0,0,5,0,0,0,2,0,1,0,0,0,5,0,7,0,0,0,0,0,0,0,8,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,None
55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
56,0,4,1,0,0,1,0,0,56,4,1,0,1,0,0,2,0,4,0,1,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,2,0,0,1,0,4,0,4,0,0,2,0,2,0,0,4,0,1,0,1,0,3,0,1,0,2,2,1,0,0,2,0,0,0,2,0,0,2,0,1,0,0,0,0,3,2,0,4,0,0,0,0,2,0,0,1,None
57,0,6,0,1,0,0,1,0,57,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,6,0,0,0,6,0,0,2,0,1,0,0,0,2,9,0,None
58,0,3,3,1,0,0,0,0,58,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,1,0,0,0,0,6,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,1,0,0,0,3,0,0,1,0,0,0,0,0,5,4,0,None
59,1,3,1,0,0,0,0,0,59,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,0,1,0,0,0,0,8,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,1,0,0,0,3,0,0,1,0,1,0,2,0,6,3,0,None
60,0,1,11,2,0,0,0,0,60,0,0,0,0,0,0,0,0,22,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,None
61,1,5,0,0,0,0,1,0,61,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,5,3,0,2,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,7,0,0,0,0,0,5,0,2,1,0,3,0,0,0,2,5,1,None
