,driver wc,mkdir cat,as1 ld_,aout cfe,ls tcsh,sh tr,Unnamed: 0,nawk cpp,rm ls,sh man,tcsh grep,make efm,less less,head wc,tcsh cfe,sh aout,nawk ld_,sh mkpts,sendmail sendmail,gdb ddd,sendmail sh,date sh,ld gcc,uname nawk,rsh rsh,sh make,cfe driver,make cfe,ld_ nm,tcsh tcsh,mail tcsh,rmdir sh,as1 cfe,tcsh less,nm ld,as gcc,sh efm,gcc gcc,cat cpp,sh ls,less tcsh,cc1 as,efm gdb,tcsh make,cpp imake,ln tcsh,xmkmf sh,stty tcsh,xrdb tcsh,driver tcsh,make ln,imake xmkmf,rm rm,hostname id,getopt true,tcsh cat,cpp cc1,date date,rm uname,emacs20 tcsh,tcsh ld_,ls less,ls rm,tr sh,man man,sh date,cat mail,make rm,ld_ driver,sed sh,sh head,sh wc,efm stty,ugen as1,tcsh stty,sh sh,cfe ugen,sh mediamai,rm rmdir,ls ls,rm cfe,sh less,efm less,mediamai sendmail,wc sh,tcsh xrdb,gcc tcsh,as1 driver,grep date,uopt ugen,col col,grep grep,less date,tcsh ls,less ls,sh sed,cfe uopt,less sh,tcsh uname,tcsh date,Label
10,0,1,0,0,0,0,10,3,0,0,0,0,0,1,0,0,1,1,0,1,0,15,1,4,0,1,0,0,1,0,0,1,0,0,1,3,2,4,1,0,0,3,1,1,1,0,1,3,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,12,0,1,0,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,0
11,0,1,0,0,0,0,11,5,0,0,0,0,0,1,0,0,1,0,0,0,0,13,1,6,0,1,0,0,1,0,0,1,0,1,1,3,0,5,1,0,0,4,0,2,1,0,1,1,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,11,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0
12,0,0,0,0,0,0,12,9,0,0,0,1,0,1,0,0,1,0,0,0,0,3,1,10,0,0,0,0,1,0,0,0,0,0,1,9,0,11,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,10,1,0
13,0,0,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,1,0,25,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,1,0,1,0,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,0,0,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0
14,0,0,0,0,0,0,14,0,0,0,0,0,1,2,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,20,0,0,2,0,2,4,0,2,0,0,0,0,0,0,0,4,0,0,6,0,0,2,0,2,0,0,3,0,0,0,2,0,0,2,0
15,0,0,0,0,0,0,15,4,0,0,0,0,0,1,1,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,1,0,1,0,0,0,2,1,0,0,0,0,0,4,1,1,0,1,0,0,0,0,16,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,4,1,0,1,0,0,2,0,0,0,1,0,4,1,0
16,0,1,0,0,0,0,16,8,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,8,0,1,0,0,1,0,0,1,0,0,1,8,0,9,1,0,0,8,0,1,1,0,1,1,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,8,1,0
17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,11,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,2,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,13,0,0,0,0
18,0,0,0,0,0,0,18,0,0,0,0,0,1,2,4,0,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,1,0,2,4,0,3,0,0,0,0,0,0,0,2,1,0,6,0,0,3,0,3,0,0,2,0,0,0,3,0,0,2,0
19,0,0,0,0,0,0,19,0,0,1,2,0,0,1,2,0,0,0,0,0,0,11,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,9,0,0,2,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,4,1,12,0,0,0,0,3,1,0,2,0
20,0,0,0,0,0,0,20,0,0,0,0,0,0,1,7,0,0,0,0,0,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,1,0,1,2,0,9,0,0,0,0,0,0,1,0,1,0,3,0,0,8,0,9,0,0,0,0,0,0,9,0,0,1,0
21,0,0,0,0,0,0,21,0,0,0,0,0,0,1,9,0,0,0,0,0,0,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,1,2,0,8,0,0,0,0,0,0,0,1,1,0,3,0,0,8,0,8,0,0,1,0,0,0,9,0,0,1,0
22,0,0,0,0,0,0,22,0,0,0,0,0,1,3,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,21,0,0,2,0,3,5,0,2,0,0,0,0,0,0,0,1,2,0,8,0,0,2,0,1,0,0,1,0,0,0,1,0,0,2,0
23,0,0,0,0,0,0,23,0,0,0,2,0,0,1,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,2,1,0,4,0,0,2,0,2,0,7,3,0,0,0,3,0,0,1,0
24,0,0,0,0,0,0,24,0,0,0,0,0,3,2,1,0,0,0,0,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,5,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,23,0,0,2,0,2,4,0,2,0,0,0,0,0,0,0,1,1,0,6,0,0,2,0,1,0,0,1,0,0,0,1,0,0,2,0
25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,1,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,12,0,12,0,0,0,0,0,0,12,0,0,0,0
26,0,0,0,0,0,0,26,0,0,0,1,0,4,1,4,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,8,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,13,0,0,2,0,2,3,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,5,0,5,0,0,0,0,0,0,5,0,0,2,0
27,0,0,0,0,0,0,27,4,0,0,0,0,1,1,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,21,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0
28,0,1,0,0,0,0,28,9,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,10,0,1,0,0,1,0,0,1,0,0,1,9,0,11,1,0,0,9,0,1,1,0,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0
29,0,1,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,0,3,6,3,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
30,0,0,0,0,0,0,30,1,0,0,0,1,0,3,0,0,2,0,0,0,0,23,2,3,0,0,0,0,2,0,0,0,0,0,2,1,1,3,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0
31,0,0,0,0,0,0,31,2,0,0,0,1,0,3,0,0,1,0,0,0,0,23,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,0
32,0,0,0,0,1,0,32,1,1,0,0,0,0,0,10,0,1,0,0,0,0,6,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,1,1,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,10,0,0,0,0,0,0,10,0,1,0,0
33,0,0,0,0,0,0,33,6,0,0,0,0,0,0,3,0,1,0,0,0,0,2,1,7,0,0,0,0,1,1,0,0,0,0,1,5,2,6,0,0,2,5,0,3,0,2,0,0,0,6,2,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,4,0,0,0,0,0,0,3,0,6,2,0
34,0,1,0,0,0,0,34,7,0,0,0,0,0,1,0,0,1,1,0,0,0,4,1,8,0,1,0,0,1,0,0,1,0,0,1,8,0,9,1,0,0,7,0,1,1,0,1,1,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,4,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,8,1,0
35,0,0,0,0,0,0,35,1,0,0,0,0,2,1,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,20,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,2,1,0,3,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0
36,0,0,0,0,0,0,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0
37,0,1,0,0,0,0,37,0,0,0,0,0,0,2,0,0,1,0,0,1,0,23,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,2,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,2,4,0,1,0,1,0,0,1,0,0,1,0,0,6,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0
38,0,0,0,0,0,0,38,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,1,1,0,12,0,0,0,0,0,0,1,0,0,0,2,0,0,13,0,13,0,0,0,0,0,0,13,0,0,1,0
39,0,0,0,0,0,0,39,0,0,0,0,0,0,1,2,0,0,0,0,0,0,28,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,3,0,0,1,0,0,0,3,0,0,1,0
40,0,0,4,2,0,0,40,0,0,0,0,0,0,1,3,0,0,0,0,0,0,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,5,0,1,2,0,7,0,0,4,0,0,0,1,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,3,0,0,1,0
41,0,0,0,0,0,0,41,0,0,0,0,0,0,1,11,0,0,0,0,1,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,1,2,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,11,0,0,0,0,0,0,11,0,0,0,0
42,0,0,0,0,0,0,42,0,0,0,0,0,1,1,2,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,2,1,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
43,0,0,0,0,0,0,43,0,0,0,1,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,2,0,2,4,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,2,0,0,0,0,0,0,2,0,0,3,0
44,0,0,0,0,0,0,44,0,0,0,0,0,0,2,3,0,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,2,0,2,4,0,3,0,0,0,0,0,0,0,2,1,0,6,0,0,3,0,3,0,0,0,0,0,0,3,0,0,1,0
45,0,0,0,0,0,0,45,0,0,0,0,0,0,2,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,25,0,0,2,0,2,4,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
46,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,36,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0
48,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
52,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
54,0,0,0,0,0,0,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,None
55,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
56,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
57,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None
58,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,None
59,0,0,0,0,0,0,59,0,0,0,1,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,7,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,7,0,1,0,1,0,0,7,0,0,0,None
60,0,0,0,0,1,0,60,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,2,0,11,0,11,0,0,0,3,0,0,11,0,0,0,None
61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,15,0,0,0,None
