,xconfirm endsessi,ls generic,fifo cat,ls sed,mimencod sh,aacdec cat,csh make,cat generic,Unnamed: 0,gettxt gettxt,date lp,nawk cpp,rm ls,rm sh,cat file,cat post,true grep,xprop endsessi,generic cat,cpp cc1,sendmail sh,generic ln,post awk,java csh,uname nawk,expr generic,file post,launchef launchef,gettxt hostname,generic lp,acroread acroread,ln ln,tcppost sh,sed fifo,as gcc,endsessi tellwm,gcc gcc,egrep egrep,mkpts env,launchef sh,date generic,gettxt xconfirm,netscape sendmail,sh gettxt,cc1 as,generic ls,csh launchef,find tail,wait4wm xhost,netscape netscape,tcpostio tcpostio,hostname gettxt,cpp sh,java_wr expr,hostname id,sh netscape,getopt true,endsessi endsessi,xrdb mkpts,sendmail sendmail,sh launchef,xrdb cpp,sh xrdb,generic hostname,launchef gettxt,expr expr,cat mail,tail ls,csh csh,getpgrp lock,egrep java,hostname cat,java java,netscape aacdec,id nawk,cat aiffplay,lp find,post rm,sh mediamai,sendmail netscape,dirname basename,expr dirname,sh sh,env csh,ls ls,mail csh,netstat netscape,netscape sh,generic date,rm generic,mediamai sendmail,aiffplay sh,true true,gcc uname,grep date,nawk getopt,sh aacdec,basename egrep,generic generic,xhost xsetroot,Label
10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,12,0,1,0,0,0,1,0,1,0,1,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,2,1,1,1,8,0,0,1,0,1,0,0,2,0,1,0,1,1,0,1,0,0,0
13,1,1,1,2,0,0,0,1,13,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,1,1,3,1,0,0,0,1,0,0,0,16,0,1,2,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,2,0,1,11,0,0,0,1,0,0,0,0,0,9,4,0,0,0,0,4,3,0,0,0,0,2,1,0,0,0,0,0,6,0,1,2,0,0,0,3,1,0,0,0,6,0,0,0,0,0,0,1,0,1,0
15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,1,0,4,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
16,0,1,1,2,0,0,0,1,16,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,1,1,0,3,0,0,0,0,1,0,0,1,0,3,0,2,1,1,0,1,0,1,1,0,1,2,0,0,1,1,0,3,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,2,1,1,0,0,0,1,1,0,1,1,1,0
17,2,0,0,0,0,0,1,0,17,4,1,0,0,0,1,1,1,2,0,0,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,2,0,6,1,2,0,2,0,1,0,0,1,0,1,0,0,2,2,1,1,0,1,0,1,0,1,1,2,0,1,1,1,0,2,0,2,0,2,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
18,0,1,1,2,0,0,1,1,18,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,4,0,0,3,0,2,0,0,1,0,0,0,20,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0
19,1,0,0,0,0,0,1,0,19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,14,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0,1,1,1,1,2,0,1,4,1,0,1,0,3,0,3,0,0,0,0,0,1,0,4,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0
20,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,5,0,0,0,0,1,0,0,1,2,0,0,5,1,0,2,0,6,0,4,0,0,0,0,0,0,0,5,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
21,2,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,5,2,2,0,2,0,0,0,0,1,0,2,0,0,2,4,2,0,0,0,0,2,0,2,2,4,0,2,2,2,0,4,0,1,0,1,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
22,1,0,0,0,0,0,1,0,22,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2,2,0,1,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,0,2,0,2,2,4,0,1,1,2,0,3,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
23,2,0,0,0,0,0,0,0,23,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,4,0,4,0,2,0,1,0,0,2,0,1,2,0,2,2,1,0,0,0,0,0,0,1,1,2,0,0,1,3,0,3,0,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,0,0,0,0,0,25,0,0,0,4,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,2,1,4,4,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0
25,1,0,0,0,0,0,0,0,25,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,5,0,1,2,0,0,0,3,0,1,14,0,1,2,0,0,0,0,0,1,2,4,1,2,0,1,0,3,0,3,0,0,2,0,0,0,0,0,0,3,1,0,0,1,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
26,0,0,0,0,0,0,1,0,26,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0
29,1,0,0,0,0,0,0,0,29,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,3,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
30,0,1,1,2,0,0,0,1,30,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,2,0,1,0,1,0,2,0,0,0,0,0,3,3,0,0,0,0,1,2,0,0,19,3,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,2,1,0,0,1,0,1,1,0,0,1,0,0
31,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,32,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,3,0,1,2,1,0,0,0,0,1,31,0,1,2,0,0,1,0,0,1,2,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,3,0,0,32,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,3,0,1,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
34,0,0,0,0,4,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,1,6,0,0,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,5,0,0,1,0,1,0,6,0,0,1,1,0,0,1,0,3,1,1,2,0,0,1,6,0,0,0,0,5,0,0,0,0
36,0,0,0,0,0,8,1,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,4,1,0,0,0
37,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
38,1,0,1,1,0,0,0,0,38,2,1,0,0,3,1,1,2,1,1,0,2,1,1,0,0,1,1,1,1,1,2,1,0,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,2,2,0,0,1,0,0
39,0,6,5,6,0,0,0,6,39,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,6,0,5,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,4,0,0,5,0,0
40,1,0,0,0,1,0,0,0,40,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,1,5,0,1,0,1,0,0,3,0,1,5,0,1,2,0,0,0,0,0,1,0,2,1,2,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,0,1,1,1,0,0,0,1,41,0,1,0,0,0,1,1,1,0,1,0,4,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,5,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,3,0,0,0,1,0,1,0,0,0,1,1,3,0,0,0,1,1,0,0,1,0,0
42,0,0,0,1,2,2,0,0,42,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,7,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0
44,0,1,1,2,0,4,0,1,44,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,17,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,1,0,0,1,0,0
45,0,0,0,0,1,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,2,0,0,0,0
46,1,0,0,0,0,0,0,0,46,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,3,0,1,17,0,1,2,0,0,0,0,0,1,0,2,1,2,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
47,0,0,0,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,48,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,3,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,3,3,0,0,11,0,0,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0
49,0,0,0,0,0,3,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,2,0,3,0,0,0,0,4,4,0,0,7,0,1,0,0,0,0,3,0,0,0,0,0,4,0,0,0
50,0,1,1,1,0,4,0,1,50,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,20,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,4,1,1,0,0,1,1,0,0,0,0,0,0,2,1,0,4,0,0,1,1,2,1,1,0,0
51,0,1,1,3,0,1,0,1,51,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,2,3,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,16,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,0,0,1,0,0
52,0,0,0,0,0,0,0,0,52,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
53,0,0,0,0,1,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0
54,0,0,0,0,0,0,0,0,54,0,0,4,0,1,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
55,0,0,0,0,0,20,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,15,0,0,0,0,10,0,0,0,0
56,0,0,0,0,0,22,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0
57,0,0,0,0,0,0,0,0,57,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
58,0,0,0,0,0,0,0,0,58,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0,1,0,0,11,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1
59,0,0,0,0,0,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,6,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,5,0,0,0,0,1,1,0,0,0
60,0,0,0,0,0,0,0,0,60,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61,1,0,0,0,0,1,0,0,61,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,1,0,1,3,0,1,2,0,0,1,0,0,1,0,0,1,2,0,0,0,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,6,1,0,1,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0
