,fig2dev sh,neqn sed,xconfirm endsessi,ssh tcsh,virtex virtex,compress sh,ls generic,download tcpostio,fifo cat,sed calendar,ls sed,rmdir generic,metamail sh,launchef hostname,cat cat,nm ld,more xset,rootless more,cat generic,rm calendar,Unnamed: 0,gettxt gettxt,date lp,sh rm,nawk cpp,rm ls,rm sh,find emacs20,more cfe,ksh xterm,xauth sh,cat file,cat post,sh man,mediamai netscape,true grep,finger finger,bdftopcf compress,gethost download,mediamai ksh,configur configur,make rootless,tput ls,xprop endsessi,pwd sed,col col,generic cat,cat xset,sendmail sendmail,sendmail sh,tput netscape,generic ln,userenv wait4wm,more rm,ld gcc,post awk,uname nawk,expr generic,netscape finger,file post,nroff sed,finger tput,gettxt hostname,generic ls,generic lp,env ksh,make cfe,ld_ nm,tcsh tcsh,pwd ls,xdm 4dwm,ln ln,tr sh,reaper cat,emacs20 netscape,sed fifo,ln ls,as gcc,sh getpgrp,endsessi tellwm,gcc gcc,cat date,lock gs,xset launchef,sh ls,pcst cfe,mkpts env,mkdir expr,sed rm,sh tr,tcpostio cat,xdvirea xdvi,launchef sh,date generic,unlock rmdir,sh pwd,gettxt xconfirm,mc lc,sh lock,ssh xauth,rm unlock,make ls,make rm,cc1 as,tcsh ksh,ssh tput,ln generic,netscape mail,cfe driver,col ul,netscape xauth,wait4wm xhost,sh cat,xwsh tcsh,sh metamail,netscape netscape,tcpostio tcpostio,awk cat,hostname gettxt,sed sed,cpp sh,sh mail,generic rm,hostname id,sh neqn,generic tcppost,cat launchef,sh netscape,pwd neqn,netscape ls,getopt true,ksh xwsh,gs ghostvie,lc more,xrdb mkpts,cpp cc1,grep find,ksh cpp,mail netscape,ln grep,tbl tbl,sh launchef,xsetroot reaper,mail tput,sh xrdb,generic download,driver ld_,lock netscape,fifo rm,mail mail,launchef netstat,ksh gettxt,ls rm,sed sort,tcppost sh,man man,neqn nroff,true ls,nroff sh,metamail xterm,nawk ld_,xclock ksh,netscape ssh,ld_ driver,col sh,more pcst,tellwm tellwm,toolches xwsh,getpgrp lock,sh netstat,sed tbl,hostname cat,sh unpack,xterm ksh,generic gethost,sed sh,driver cfe,launchef launchef,neqn pwd,finger netscape,ugen as1,more ls,xclock xwsh,make uname,id nawk,cfe ugen,lp find,ksh ksh,post rm,sh mediamai,toolches xclock,ls ln,ksh userenv,sendmail netscape,sh ssh,netscape ksh,tellwm xprop,lc ls,netscape sendmail,sh sh,calendar sort,virtex xdvirea,ls more,rootless cfe,ls ls,gcc make,more emacs20,netstat netscape,netscape sh,pwd nroff,generic date,rm generic,more sh,pcst more,tbl neqn,mediamai sendmail,netscape pwd,nroff neqn,ls mc,ls ex,make pcst,netscape launchef,true true,gcc uname,find mkdir,more launchef,lp sh,as1 driver,grep date,endsessi xdm,more netscape,unpack col,cat more,download gethost,nawk getopt,more more,sort sed,ul more,mkpts virtex,sh sed,sh hostname,lock true,generic generic,ex make,rm mediamai,4dwm toolches,driver make,xhost xsetroot,sh bdftopcf,ex ls,Label
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,17,0,0,0,0,0,3,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,2,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,16,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0
15,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,24,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,58,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,39,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,4,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,1,1,2,0,3,1,0,0,0,0,0,0,1,0,20,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
